site_id,transect_id,boot_slope_m_per_yr
nzd0161,nzd0161-0187,-0.30109619109157154
nzd0161,nzd0161-0187,-0.2768943673225224
nzd0161,nzd0161-0187,-0.06620883419313668
nzd0161,nzd0161-0187,-0.0846781392189329
nzd0161,nzd0161-0187,-0.24163086084771462
nzd0161,nzd0161-0187,0.14285732425129932
nzd0161,nzd0161-0187,-0.2747794334109754
nzd0161,nzd0161-0187,-0.33495445826574527
nzd0161,nzd0161-0187,-0.16103218989846793
nzd0161,nzd0161-0187,-0.5202789704410771
nzd0161,nzd0161-0187,-0.21237955305934136
nzd0161,nzd0161-0187,-0.2078553537233652
nzd0161,nzd0161-0187,-0.2926511056224195
nzd0161,nzd0161-0187,-0.07661243913202045
nzd0161,nzd0161-0187,-0.3220698925894643
nzd0161,nzd0161-0187,-0.16651553527208834
nzd0161,nzd0161-0187,-0.038730611765178585
nzd0161,nzd0161-0187,-0.32930678900073534
nzd0161,nzd0161-0187,-0.26622344756907446
nzd0161,nzd0161-0187,-0.1911011356469011
nzd0161,nzd0161-0187,-0.10723065096763104
nzd0161,nzd0161-0187,-0.2627581308393364
nzd0161,nzd0161-0187,-0.34483130951936125
nzd0161,nzd0161-0187,-0.1962072911638739
nzd0161,nzd0161-0187,-0.2534302494982033
nzd0161,nzd0161-0187,-0.1674631429945922
nzd0161,nzd0161-0187,0.09284830759562819
nzd0161,nzd0161-0187,-0.0777348634877804
nzd0161,nzd0161-0187,-0.47346719598096887
nzd0161,nzd0161-0187,-0.3405211220621609
nzd0161,nzd0161-0187,-0.12084790403887918
nzd0161,nzd0161-0187,-0.21193511663435155
nzd0161,nzd0161-0187,-0.10878855079233894
nzd0161,nzd0161-0187,-0.051565491216307706
nzd0161,nzd0161-0187,-0.2725779195224327
nzd0161,nzd0161-0187,-0.14710809144170908
nzd0161,nzd0161-0187,-0.1334923003909417
nzd0161,nzd0161-0187,-0.03630648160906432
nzd0161,nzd0161-0187,-0.35886757872812014
nzd0161,nzd0161-0187,-0.2672199496483198
nzd0161,nzd0161-0187,-0.33794290930811766
nzd0161,nzd0161-0187,0.0755009034760289
nzd0161,nzd0161-0187,-0.09744665564697318
nzd0161,nzd0161-0187,0.11067983572942158
nzd0161,nzd0161-0187,-0.3832361851299441
nzd0161,nzd0161-0187,-0.25909548093850665
nzd0161,nzd0161-0187,-0.2037937974217737
nzd0161,nzd0161-0187,-0.29051794129291414
nzd0161,nzd0161-0187,0.008755244445293135
nzd0161,nzd0161-0187,-0.29476666545910996
nzd0161,nzd0161-0187,-0.5021020899768502
nzd0161,nzd0161-0187,-0.0847491335620198
nzd0161,nzd0161-0187,-0.35300801129606935
nzd0161,nzd0161-0187,-0.4895851771507333
nzd0161,nzd0161-0187,-0.3146484126549704
nzd0161,nzd0161-0187,-0.16647754224315767
nzd0161,nzd0161-0187,0.06864268222037742
nzd0161,nzd0161-0187,-0.26407644577144085
nzd0161,nzd0161-0187,-0.27266587362596006
nzd0161,nzd0161-0187,-0.34786622034810816
nzd0161,nzd0161-0187,-0.368805760766794
nzd0161,nzd0161-0187,-0.02138600460743243
nzd0161,nzd0161-0187,-0.49266393078949516
nzd0161,nzd0161-0187,-0.6125794483041885
nzd0161,nzd0161-0187,-0.2295421063790263
nzd0161,nzd0161-0187,-0.35901516073540957
nzd0161,nzd0161-0187,-0.38618463328631564
nzd0161,nzd0161-0187,-0.2476393824578434
nzd0161,nzd0161-0187,-0.07664529581890203
nzd0161,nzd0161-0187,-0.09500757393005237
nzd0161,nzd0161-0187,0.011231406161735995
nzd0161,nzd0161-0187,-0.2804070242929225
nzd0161,nzd0161-0187,-0.167494175869858
nzd0161,nzd0161-0187,-0.20620047988588547
